metric_key,label_cn,aliases,exclusion_terms,statement,value_type,unit_kind,sign_convention,is_nonrecurring,is_derived,industry,parent_key,display_order,example_sentence,example_source,scope_note,note
asset_disposal_gain_loss,资产处置收益,资产处置收益|资产处置损益,固定资产处置|资产处置收益率|营业外收入,income,flow,currency,neutral,1,0,,non_recurring_gain_loss,39,本年度资产处置收益为【数值】元。,synthetic_example,,非日常处置剔除
impairment_loss,资产减值损失,资产减值损失,信用减值损失|商誉减值|资产减值准备,income,flow,currency,negative_is_good,1,0,,,40,本年度确认资产减值损失【数值】元。,synthetic_example,,⚠ 与 credit_impairment_loss 是利润表上并列的两行，合并会重复计算
credit_impairment_loss,信用减值损失,信用减值损失,资产减值损失|坏账准备|预期信用损失,income,flow,currency,negative_is_good,1,0,,,41,本年度确认信用减值损失【数值】元。,synthetic_example,,新金融工具准则下的独立行项，2019 年起与资产减值损失分列
goodwill_impairment,商誉减值损失,商誉减值损失,商誉账面价值|资产减值损失,income,flow,currency,negative_is_good,1,0,,impairment_loss,42,本年度计提商誉减值损失【数值】元。,synthetic_example,,资产减值损失下的明细项；不机械剔除，逐年判断
fair_value_gain_loss,公允价值变动收益,公允价值变动收益|公允价值变动损益,其他综合收益|交易性金融资产|公允价值计量,income,flow,currency,neutral,1,0,,,43,本年度公允价值变动收益为【数值】元。,synthetic_example,,非主营金融资产收益通常剔除
investment_income,投资收益,投资收益,投资活动现金流|长期股权投资|其他收益,income,flow,currency,neutral,1,0,,,44,本年度投资收益为【数值】元。,synthetic_example,,与主营高度相关且持续发生的联营/合营收益可保留，但需单独标记
total_assets,资产总计,资产总计|资产总额,总资产周转率|资产负债率|资产总额增长率,balance,stock,currency,positive_is_good,0,0,,,100,报告期末资产总额为【数值】元。,synthetic_example,,
total_liabilities,负债合计,负债合计|负债总额,资产负债率|有息负债|流动负债合计,balance,stock,currency,negative_is_good,0,0,,,101,报告期末负债总额为【数值】元。,synthetic_example,,
total_equity,所有者权益合计,所有者权益合计|股东权益合计|所有者权益(或股东权益)合计,归属于母公司,balance,stock,currency,positive_is_good,0,0,,,102,,,,含少数股东权益
equity_parent,归属于母公司所有者权益合计,归属于母公司所有者权益合计|归属于母公司股东权益合计|归属于上市公司股东的所有者权益,少数股东权益|股东权益合计|净资产收益率,balance,stock,currency,positive_is_good,0,0,,total_equity,103,报告期末归属于母公司股东的权益为【数值】元。,synthetic_example,,排除词必须挡住「股东权益合计」，那是父项
minority_interest,少数股东权益,少数股东权益,,balance,stock,currency,neutral,0,0,,total_equity,104,,,,
cash_and_equivalents,货币资金,货币资金|库存现金及现金等价物,现金净增加额|现金流量净额,balance,stock,currency,positive_is_good,0,0,,,105,,,,时点数。与 cash_end（现金流量表的期末余额）不是同一口径，后者剔除了受限资金
accounts_receivable,应收账款,应收账款,应收账款周转率|应收票据及应收账款|坏账准备,balance,stock,currency,neutral,0,0,,,106,期末应收账款账面余额为【数值】元。,synthetic_example,,⚠ 必须排除「应收票据及应收账款」，那是含本科目在内的合并列示行，两边都收会重复计算
notes_and_ar,应收票据及应收账款,应收票据及应收账款,应收账款|应收票据|应收账款周转率,balance,stock,currency,neutral,0,0,,,107,期末应收票据及应收账款为【数值】元。,synthetic_example,,2018 年起年报的合并列示行 = accounts_receivable + notes_receivable，三者只能用其一
notes_receivable,应收票据,应收票据,应收票据及应收账款|应收款项融资,balance,stock,currency,neutral,0,0,,,108,,,,若公司按合并列示行披露，则本指标无值，应由 notes_and_ar 承载。应收款项融资是单独列示的票据，口径不同
inventory,存货,存货,存货周转率|存货跌价准备|存货占比,balance,stock,currency,neutral,0,0,,,109,期末存货账面余额为【数值】元。,synthetic_example,,钢铁企业需区分原材料/在产品/产成品
contract_liabilities,合同负债,合同负债|预收款项,合同资产|合同负债率|负债合同,balance,stock,currency,positive_is_good,0,0,,,110,期末合同负债为【数值】元。,synthetic_example,,原「预收款项」，2020 年起按新收入准则列示为合同负债
accounts_payable,应付账款,应付账款,应付票据及应付账款|应付账款周转率,balance,stock,currency,negative_is_good,0,0,,,111,期末应付账款为【数值】元。,synthetic_example,,同 accounts_receivable，须排除合并列示行
ppe,固定资产,固定资产,固定资产周转率|固定资产原值|固定资产减值准备,balance,stock,currency,positive_is_good,0,0,,,112,期末固定资产账面价值为【数值】元。,synthetic_example,,取账面价值（净额），不是原值
cip,在建工程,在建工程,工程物资,balance,stock,currency,neutral,0,0,,,113,,,,重资产行业资本开支进度的观察项
goodwill,商誉,商誉,商誉减值准备|商誉占比|商誉评估,balance,stock,currency,neutral,0,0,,,114,期末商誉账面价值为【数值】元。,synthetic_example,,
short_term_borrowing,短期借款,短期借款,,balance,stock,currency,negative_is_good,0,0,,,115,,,,
long_term_borrowing,长期借款,长期借款,,balance,stock,currency,negative_is_good,0,0,,,116,,,,
bonds_payable,应付债券,应付债券,,balance,stock,currency,negative_is_good,0,0,,,117,,,,
lease_liability,租赁负债,租赁负债,,balance,stock,currency,negative_is_good,0,0,,,118,,,,
interest_bearing_debt,有息负债合计,,,balance,stock,currency,negative_is_good,0,1,,,119,,,,计算值 = 短期借款 + 长期借款 + 应付债券 + 租赁负债 + 一年内到期的非流动负债
net_debt,净债务,,,balance,stock,currency,negative_is_good,0,1,,,120,,,,计算值 = 有息负债 − 非经营性现金
cfo,经营活动产生的现金流量净额,经营活动产生的现金流量净额|经营活动现金流量净额,投资活动产生的现金流量净额|筹资活动产生的现金流量净额|经营现金流率,cashflow,flow,currency,positive_is_good,0,0,,,200,经营活动产生的现金流量净额为【数值】元。,synthetic_example,,★ 三个活动现金流互为排除词，是最容易被误映射的一组
cfi,投资活动产生的现金流量净额,投资活动产生的现金流量净额,经营活动产生的现金流量净额|筹资活动产生的现金流量净额,cashflow,flow,currency,neutral,0,0,,,201,投资活动产生的现金流量净额为【数值】元。,synthetic_example,,
cff,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,经营活动产生的现金流量净额|投资活动产生的现金流量净额,cashflow,flow,currency,neutral,0,0,,,202,筹资活动产生的现金流量净额为【数值】元。,synthetic_example,,
depreciation_amortization,固定资产折旧、油气资产折耗、生产性生物资产折旧,固定资产折旧|折旧与摊销|固定资产折旧、油气资产折耗、生产性生物资产折旧,累计折旧,cashflow,flow,currency,positive_is_good,0,0,,,203,,,,FCFF 计算必需。取现金流量表补充资料的本期计提数，不是资产负债表累计折旧
amortization_intangible,无形资产摊销,无形资产摊销|使用权资产折旧,累计摊销,cashflow,flow,currency,positive_is_good,0,0,,,204,,,,
capex,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金|购建固定资产、无形资产和其他长期资产所支付的现金,固定资产原值|固定资产账面价值|资本化研发支出,cashflow,flow,currency,neutral,0,0,,,205,本年度购建固定资产、无形资产和其他长期资产支付的现金为【数值】元。,synthetic_example,,资本开支，FCFF 计算必需
cash_begin,期初现金及现金等价物余额,期初现金及现金等价物余额,期末现金及现金等价物余额,cashflow,stock,currency,neutral,0,0,,,206,,,,
cash_end,期末现金及现金等价物余额,期末现金及现金等价物余额,现金净增加额|现金流量净额|货币资金,cashflow,stock,currency,neutral,0,0,,,207,期末现金及现金等价物余额为【数值】元。,synthetic_example,,
cash_net_increase,现金及现金等价物净增加额,现金及现金等价物净增加额,期末现金及现金等价物余额|经营现金流净额,cashflow,flow,currency,neutral,0,0,,,208,现金及现金等价物净增加额为【数值】元。,synthetic_example,,应等于 cfo + cfi + cff，是三表勾稽的校验点
operating_working_capital,经营性营运资本,,,balance,stock,currency,neutral,0,1,,,209,,,,计算值 = (应收账款 + 应收票据 + 存货) − (应付账款 + 应付票据 + 合同负债)
diluted_shares,稀释后总股本,稀释后总股本,总股本|基本每股收益对应的股本,balance,stock,shares,neutral,0,0,,,300,,,,EV→股权价值 必需。与「总股本」不是一回事，可转债/期权会稀释
eps_basic,基本每股收益,基本每股收益,稀释每股收益|基本每股收益率|每股收益增长率,indicator,flow,currency,positive_is_good,0,0,,,301,本年度基本每股收益为【数值】元/股。,synthetic_example,,单位是元/股，不是股数
eps_diluted,稀释每股收益,稀释每股收益,基本每股收益|稀释每股收益率,indicator,flow,currency,positive_is_good,0,0,,,302,本年度稀释每股收益为【数值】元/股。,synthetic_example,,
bvps,每股净资产,归属于上市公司股东的每股净资产|每股净资产,,indicator,stock,currency,positive_is_good,0,0,,,303,,,,
ebit,息税前利润,,,income,flow,currency,positive_is_good,0,1,,,400,,,,计算值 = 利润总额 + 利息费用 − 利息收入；★ 正常化核心指标的分母基础
ebitda,息税折旧摊销前利润,,,income,flow,currency,positive_is_good,0,1,,,401,,,,计算值 = EBIT + 折旧摊销
ebit_margin,EBIT 利润率,,,indicator,ratio,percent,positive_is_good,0,1,,,402,,,,★ 周期正常化的核心指标
ebitda_margin,EBITDA 利润率,,,indicator,ratio,percent,positive_is_good,0,1,,,403,,,,交叉验证项
gross_margin,毛利率,,,indicator,ratio,percent,positive_is_good,0,1,,,404,,,,
net_margin,净利率,,,indicator,ratio,percent,positive_is_good,0,1,,,405,,,,
roe,净资产收益率,,,indicator,ratio,percent,positive_is_good,0,1,,,406,,,,平均净资产口径
roic,投入资本回报率,,,indicator,ratio,percent,positive_is_good,0,1,,,407,,,,交叉验证项 = NOPAT / (有息负债 + 股东权益)
cash_conversion,现金转化率,,,indicator,ratio,percent,positive_is_good,0,1,,,408,,,,计算值 = 经营现金流 / 净利润
nonrecurring_share,非经常性损益占比,,,indicator,ratio,percent,negative_is_good,0,1,,,409,,,,
steel_output,钢材产量,钢材产量,粗钢产量|生铁产量|钢材销量|钢材产能|钢材销售收入,industry,flow,ton,positive_is_good,0,0,steel,,500,本年度钢材产量为【数值】万吨。,synthetic_example,,年报「经营情况讨论与分析」产销量表。产量与销量是两张表，互为排除词
crude_steel_output,粗钢产量,粗钢产量,钢材产量|钢材销量|粗钢产能,industry,flow,ton,positive_is_good,0,0,steel,,501,本年度粗钢产量为【数值】万吨。,synthetic_example,,⚠ 粗钢产量 ≠ 钢材产量，两者相差一个成材率。产能利用率的分母必须与之配套
steel_sales_volume,钢材销量,钢材销量|销售量,粗钢产量|钢材产量|钢材产能|钢材销售收入,industry,flow,ton,positive_is_good,0,0,steel,,502,本年度钢材销量为【数值】万吨。,synthetic_example,,吨钢指标的分母用销量。别名「销售量」与煤企共用，映射时须先按 project.industry 过滤字段
steel_price_avg,钢材平均售价,,,industry,ratio,currency,positive_is_good,0,1,steel,,503,,,,计算值 = 钢材销售收入 / 钢材销量
steel_spread,吨钢原料差价,吨钢原料差价,吨钢毛利|吨钢 EBITDA|吨钢成本,industry,ratio,currency,positive_is_good,0,1,steel,,504,本年度吨钢原料差价为【数值】元/吨。,synthetic_example,,⚠ 若只能得到「售价 − 原材料成本」，就只能叫原料差价。称为毛利会虚高约一倍——差的是一人工、制造费用与折旧
steel_gross_profit_per_ton,吨钢毛利,吨钢毛利,吨钢原料差价|吨钢 EBITDA|吨钢成本,industry,ratio,currency,positive_is_good,0,1,steel,,505,本年度吨钢毛利为【数值】元/吨。,synthetic_example,,优先采用年报直接披露值；自算时分母用销量，成本须含材料/人工/制造费用/折旧
steel_ebitda_per_ton,吨钢 EBITDA,吨钢 EBITDA,吨钢毛利|吨钢原料差价|EBITDA 利润率,industry,ratio,currency,positive_is_good,0,1,steel,,506,本年度吨钢 EBITDA 为【数值】元/吨。,synthetic_example,,交叉验证项，一律不影响 DCF
effective_capacity,有效产能,有效产能|钢材有效产能|粗钢有效产能,设计产能|产能利用率|产能置换,industry,stock,ton,neutral,0,0,steel,,507,报告期钢材有效产能为【数值】万吨。,synthetic_example,,产能利用率的默认分母。优先取公司披露的有效产能，不是设计产能
capacity_utilization,产能利用率,产能利用率,设计产能|有效产能|产能利用率目标,industry,ratio,percent,positive_is_good,0,1,steel,,508,本年度粗钢产能利用率为【数值】%。,synthetic_example,,交叉验证项。一体化钢企用粗钢口径，轧钢企业用钢材口径，两者不得混用
crude_steel_capacity,粗钢产能,粗钢产能|钢铁产能,设计产能|有效产能,industry,stock,ton,neutral,0,0,steel,,509,,,,设计产能不是本字段；按 docs/03 产能利用率默认取有效产能
coal_output,原煤产量,原煤产量|商品煤产量|煤炭产量,煤炭销量|原煤销量,industry,flow,ton,positive_is_good,0,0,energy,,520,,,,
coal_sales_volume,商品煤销量,商品煤销量|煤炭销量|销售量,原煤产量|商品煤产量,industry,flow,ton,positive_is_good,0,0,energy,,521,,,,别名「销售量」与钢企共用，映射时须先按 project.industry 过滤字段
coal_price_avg,吨煤平均售价,吨煤售价|煤炭平均售价,,industry,ratio,currency,positive_is_good,0,1,energy,,522,,,,
ton_coal_gross_margin,吨煤毛利,吨煤毛利,吨煤原料差价|吨煤成本,industry,ratio,currency,positive_is_good,0,1,energy,,523,,,,交叉验证项。煤企是钢企的成本项，两者周期驱动因素相反，不得互为估值可比
safety_production_expense,安全生产费用,安全生产费用|专项储备,,industry,flow,currency,neutral,0,0,energy,,524,,,,能源钢铁行业特有，须单列
environmental_protection_expense,环保投入,环保投入|环保支出|环保费用,,industry,flow,currency,neutral,0,0,,,525,,,,双碳/能耗双控相关
audit_opinion,审计意见类型,审计意见|审计意见类型,内部控制审计意见|审计费用|审计委员会,disclosure,text,text,positive_is_good,0,0,,,600,会计师事务所对公司本年度财务报告出具了【审计意见类型】。,synthetic_example,,非标意见是最高优先级风险信号。文本型，不入 financial_fact
accounting_policy_change,会计政策变更,会计政策变更,会计估计变更|前期差错更正|会计政策和会计估计,disclosure,text,text,neutral,0,0,,,601,本年度因会计政策变更对比较数据进行追溯调整。,synthetic_example,,触发 incomparable_reason = policy_change。会计估计变更与前期差错更正是另两件事，排除但不另立指标。文本型，不入 financial_fact
